,text,Mapping,word_count,unique_wordcount,mean_word_length,tweet_length,url_count,hashtags,mention_count,stopwords,punctuation_count,text_Adjectives,Processed_Text
42,"@user John, what do you make of DJT's silence? He would usually be foaming at the mouth right now. Maybe he's constipated.",0,22,22,4.59,122,0,0,1,10,7,@, john what do you make of djts silence he would usually be foaming at the mouth right now maybe hes constipated
43,@user happy birthday machaaaa 🎈🎉🎊 stay awesome and murah rezeki selalu 👍🏻,1,12,12,5.17,73,0,0,1,1,1,happy awesome murah, happy birthday machaaaa 🎈🎉🎊 stay awesome and murah rezeki selalu 👍🏻
44,"When you should be working, but you're shopping amazon prime deals instead... 😦",0,13,13,5.15,79,0,0,0,6,5,amazon prime,when you should be working but youre shopping amazon prime deals instead 😦
45,Karma is real bitch 🖕🏼you can't just be mean and do horrid things without paying the price 😂,0,18,18,4.17,92,0,0,0,7,1,real mean horrid,karma is real bitch 🖕🏼you cant just be mean and do horrid things without paying the price 😂
46,@user @user Agree with @user or you are of a lower intelligence would be your message there then? #dreadful,0,19,17,4.68,107,0,1,1,10,5,,  agree with  or you are of a lower intelligence would be your message there then dreadful
47,@user Rumor has you are #wellendowed #awesome! Truth is you are a #big 😲 #notsomuch so you know a bunch of #gaypeople #sowhat,0,23,19,4.48,125,0,1,1,11,8,user wellendowed awesome big gaypeople, rumor has you are wellendowed awesome truth is you are a big 😲 notsomuch so you know a bunch of gaypeople sowhat
48,"IK to PMLN: 'Darling, I will haunt you in your nightmares, dressed like a dream.' BEST THING EVER. #GameOverNawaz",1,19,19,5.0,113,0,1,0,7,8,BEST,ik to pmln darling i will haunt you in your nightmares dressed like a dream best thing ever gameovernawaz
49,OMG we're eating drinking in a restaurant and  so is a baby!!! Quell horror #YummyMummiesAU,0,15,14,5.07,91,0,1,0,7,5,,omg were eating drinking in a restaurant and  so is a baby quell horror yummymummiesau
50,hello phy6 i'm stressing over u ayuku na??¿ ☹,3,9,9,4.11,45,0,0,0,2,3,u,hello phy im stressing over u ayuku na¿ ☹
51,"There are parts of you that wants the sadness. Find them out, ask them why",3,15,14,4.0,74,0,0,0,9,2,,there are parts of you that wants the sadness find them out ask them why
52,Are you always looking for quotes of your days? Then follow @user to learn more!\n #quote  #doubleviz,2,17,17,4.94,101,0,1,1,7,5,\n quote,are you always looking for quotes of your days then follow  to learn moren quote  doubleviz
53,@user huhu kak help me through all of this,3,9,9,3.78,42,0,0,1,5,1,, huhu kak help me through all of this
54,Let's start all over again.....\n#feels #lover #happiness #loyalty #truth,1,9,9,7.22,73,0,1,0,3,11,happiness,lets start all over againnfeels lover happiness loyalty truth
55,"Earth's sixth mass extinction event under way, scientists warn **basically  caused by Islamic Muslim terrorism which Obama dem- rats back*",0,20,20,5.9,138,0,0,0,3,6,sixth,earths sixth mass extinction event under way scientists warn basically  caused by islamic muslim terrorism which obama dem rats back
56,Some days I feel like I'm going to accomplish everything I've ever dreamed.  Today is not one of those days #nomotivation #rainyday #gloomy,3,23,22,5.04,139,0,1,0,11,6,nomotivation rainyday,some days i feel like im going to accomplish everything ive ever dreamed  today is not one of those days nomotivation rainyday gloomy
57,"For every one concept I try to cram into my brain, I feel like I'm pushing out three. #panic",3,19,18,3.89,92,0,1,0,9,4,,for every one concept i try to cram into my brain i feel like im pushing out three panic
58,“The #optimist proclaims that we live in the best of all possible worlds; and the #pessimist fears this is true.” ~ James Branch Cabell,2,24,23,4.67,135,0,1,0,10,5,possible true.,“the optimist proclaims that we live in the best of all possible worlds and the pessimist fears this is true”  james branch cabell
59,Red Sox fans are #mad #onhere - it's almost like their All Star relief pitcher and 1st baseman both left with injuries in this game 🤷🏻‍♀️,0,26,26,4.31,137,0,1,0,10,4,Red mad,red sox fans are mad onhere  its almost like their all star relief pitcher and st baseman both left with injuries in this game 🤷🏻‍♀️
60,@user - @user has occupied one full lane for toll collection permanently resulting in traffic snarl everyday on UP Link Road,0,21,20,4.95,124,0,0,1,5,3,full,   has occupied one full lane for toll collection permanently resulting in traffic snarl everyday on up link road
61,"I've never been happier. I'm laying awake as I watch @user sleep. Thanks for making me happy again, babe.",1,19,19,4.58,105,0,0,1,7,7,user happy,ive never been happier im laying awake as i watch  sleep thanks for making me happy again babe
62,#Overheard: 'I don't really like dogs.' I DON'T FEEL SAFE IN THIS PLACE. Clearly a hostile environment!  #bigly #covfefe #TrustNoOne,0,20,20,5.6,132,0,1,0,7,12,like hostile covfefe,overheard i dont really like dogs i dont feel safe in this place clearly a hostile environment  bigly covfefe trustnoone
63,@user Hahaaa! Was fuming with that 😞😂,0,7,7,4.43,37,0,0,1,3,2,, hahaaa was fuming with that 😞😂
64,@user lel I already know the whole plot dont worry I would have warned you :D man... Cid tho... That bitch slapped Gabranths hand away,0,25,24,4.4,134,0,0,1,7,8,lel whole, lel i already know the whole plot dont worry i would have warned you d man cid tho that bitch slapped gabranths hand away
65,"Aw, bummer. @user (Maura Rankin) blocked me for calling her out as a #bully. Some people just #CantHandleTheTruth, can they?",0,20,20,5.25,124,0,1,1,9,10,,aw bummer  maura rankin blocked me for calling her out as a bully some people just canthandlethetruth can they
66,@user is the man,1,4,4,3.25,16,0,0,1,2,1,@, is the man
67,"Gorkas is angrily unhinged, &amp;lecturing CNN on what?they should cover demanding they go after Hillary Clinton instead of Trump.",0,19,19,5.89,130,0,0,0,6,5,,gorkas is angrily unhinged amplecturing cnn on whatthey should cover demanding they go after hillary clinton instead of trump
68,"Request MRI 2 years ago, Neuro only requested last year, I'm still waiting on appointment  #mssucks #healthcareFail",0,17,17,5.76,115,0,1,0,3,5,last,request mri  years ago neuro only requested last year im still waiting on appointment  mssucks healthcarefail
69,@user @user a serious character flaw. Nowhere close to @user,0,10,8,5.1,60,0,0,1,2,4,serious,  a serious character flaw nowhere close to 
70,"'I have a problem with authority.'\n\n'Oh, you mean you hate being told what to do?'\n\n'No. Authority figures just terrify me.'\n\n#SocialAnxiety",0,20,19,6.35,146,0,1,0,9,12,,i have a problem with authoritynnoh you mean you hate being told what to donnno authority figures just terrify mennsocialanxiety
71,@user Improve on the makeup dear to avoid reduction in viewership...,3,11,11,5.27,68,0,0,1,4,4,, improve on the makeup dear to avoid reduction in viewership
72,omg i'm soooo fucking fuming,0,5,5,4.8,28,0,0,0,1,1,soooo,omg im soooo fucking fuming
73,Pages like AjPlus profit off our outrage... they serve no purpose other than to show us shit that pisses us off. Don't need that negativity,0,25,23,4.6,139,0,0,0,11,5,other,pages like ajplus profit off our outrage they serve no purpose other than to show us shit that pisses us off dont need that negativity
74,Trying my hardest not to curse people off. I look annoyed for a reason don't tell me to smile bitch!,0,20,19,4.05,100,0,0,0,9,3,,trying my hardest not to curse people off i look annoyed for a reason dont tell me to smile bitch
75,@user please get Sebstian Gorka off of my tv.  The whole trump admin. needs to stop deflecting by talking about Hillary.  #awful,0,22,22,4.77,128,0,1,1,8,5,Sebstian whole awful, please get sebstian gorka off of my tv  the whole trump admin needs to stop deflecting by talking about hillary  awful
76,@user I have at 7am so I have to get up around 5am to get ready! N also 7am classes are never pleasant 😭,3,24,19,3.38,104,0,0,1,13,2,ready pleasant, i have at am so i have to get up around am to get ready n also am classes are never pleasant 😭
77,@user Couldn't have delivered without you @user - #inspiring #partnership #women,2,11,10,6.36,80,0,1,1,3,7,user, couldnt have delivered without you   inspiring partnership women
78,"“Let us not become weary in doing good, for at the proper time we will reap a harvest if we do not give up.”\nGalatians 6:9 NIV",2,26,24,3.92,127,0,0,0,12,3,“ weary good proper up.,“let us not become weary in doing good for at the proper time we will reap a harvest if we do not give up”ngalatians  niv
79,omg they said kyungsoo looked gloomy and his instant smile after that i'm melting,1,14,14,4.86,81,0,0,0,6,1,gloomy,omg they said kyungsoo looked gloomy and his instant smile after that im melting
80,@user agreed but it had tessie by dropkicks playing outside of gameplay.  #awful,0,13,13,5.15,80,0,1,1,5,3,@ awful, agreed but it had tessie by dropkicks playing outside of gameplay  awful
81,@user @user @user FYI speed trap on I-75/I-475 NB.Changes to 50 Mph . Slow down or receive a $120 ticket in mail! #angry,0,23,21,4.26,120,0,1,1,6,11,angry,   fyi speed trap on ii nbchanges to  mph  slow down or receive a  ticket in mail angry
82,love to see them interacting 😸🙏 #itsbeensolong #laughing,1,8,8,6.12,56,0,1,0,2,2,😸🙏 itsbeensolong,love to see them interacting 😸🙏 itsbeensolong laughing
83,@user I don't know my mouth was burning the whole time,3,11,11,4.0,54,0,0,1,5,2,whole, i dont know my mouth was burning the whole time
84,A woman is sterilised because she is certain that she doesn't want children. What exactly is there to discuss? 😠 #LooseWomen,0,21,18,4.95,124,0,1,0,12,4,certain 😠,a woman is sterilised because she is certain that she doesnt want children what exactly is there to discuss 😠 loosewomen
85,"Not only was @user and @user responsible for the unnecessary outrage of this movie, but made the director @user look bad",0,21,18,4.76,120,0,0,1,10,4,responsible unnecessary bad,not only was  and  responsible for the unnecessary outrage of this movie but made the director  look bad
86,"This the way I rage, \n\non sum wopstar shit ⭐️",0,10,10,3.8,47,0,0,0,3,1,,this the way i rage nnon sum wopstar shit ⭐️
87,#happy #birthday #day trip #great day #super nice weather #blue sky #good mood #fun #love #ice cream #lycklig #födelsedag #öland,1,20,20,5.45,128,0,1,0,0,13,happy birthday great super nice blue sky good lycklig födelsedag,happy birthday day trip great day super nice weather blue sky good mood fun love ice cream lycklig födelsedag öland
88,@user Yeah funny and sexy 😍,1,6,6,3.67,27,0,0,1,1,1,, yeah funny and sexy 😍
89,#depression is a condition which will affect an estimated one in five of the population at some point in their lives,3,21,20,4.57,116,0,1,0,11,1,estimated,depression is a condition which will affect an estimated one in five of the population at some point in their lives
90,"@user I Feel sick reading this, when does it end? #dread #civil war? #sad",3,14,14,4.29,73,0,1,1,4,7,sick dread civil, i feel sick reading this when does it end dread civil war sad
91,@user 😂 He looked like a sea weed version of cousin IT from adams family and was reaaaally tall.,1,19,19,4.11,96,0,0,1,8,2,weed adams tall, 😂 he looked like a sea weed version of cousin it from adams family and was reaaaally tall
92,how i drink two 40s and im still somewhat sober ?,1,11,11,3.55,49,0,0,0,3,1,i,how i drink two s and im still somewhat sober 
93,Oh Canada 🇨🇦 shouldn't be sung like that. #terrible #MLBTHESHOW17,0,10,10,5.6,65,0,1,0,3,4,terrible,oh canada 🇨🇦 shouldnt be sung like that terrible mlbtheshow
94,Mima tremendous at bringing the noise.,1,6,6,5.5,38,0,0,0,2,1,tremendous,mima tremendous at bringing the noise
95,@user Lol nah u subscrib 4 R60/pm. N pay R3 each day thus anada R90/pm. Lol stream n use de app using ur data. #smiles,1,25,24,3.76,118,0,1,1,1,7,u ur, lol nah u subscrib  rpm n pay r each day thus anada rpm lol stream n use de app using ur data smiles
96,"Damn twitter making everybody mad, it's hilarious 😂",1,8,8,5.5,51,0,0,0,1,2,hilarious,damn twitter making everybody mad its hilarious 😂
97,this #overcast #cloudy #rainy weather makes me #lazy #glum and #sad,3,11,11,5.18,67,0,1,0,3,6,overcast rainy lazy,this overcast cloudy rainy weather makes me lazy glum and sad
98,this person hasn't uploaded episode six or seven of the lodge and i'm,0,13,13,4.38,69,0,0,0,7,2,uploaded,this person hasnt uploaded episode six or seven of the lodge and im
99,@user That'll be Madrid throwing a huff over Morata and De Gea. Fuck them,0,14,14,4.29,73,0,0,1,5,3,, thatll be madrid throwing a huff over morata and de gea fuck them
100,I think #Saudis are responsible for most of the #islamic #terror in the world. Both with their #Wahhabism and by financing terrorists …,0,23,22,4.91,135,0,1,0,13,5,responsible islamic,i think saudis are responsible for most of the islamic terror in the world both with their wahhabism and by financing terrorists …
101,🔝 #love #instagood #photooftheday @user #photoeveryday #cute #picture #beautiful #followme #happy #follow #fashion #pic #picoftheday,1,15,15,7.87,132,0,1,1,0,14,photooftheday photoeveryday cute beautiful followme happy follow pic,🔝 love instagood photooftheday  photoeveryday cute picture beautiful followme happy follow fashion pic picoftheday
102,Of course I've got a horrible cold and am breaking out 2 days before grad 👍🏼👍🏼👍🏼👍🏼👍🏼,3,16,16,4.31,84,0,0,0,7,1,horrible grad,of course ive got a horrible cold and am breaking out  days before grad 👍🏼👍🏼👍🏼👍🏼👍🏼
103,@user @user You are a man after God's heart and I am proud that you are my president.  #BlessedAndGrateful #awesomeness,1,20,18,4.95,119,0,1,1,11,6,proud BlessedAndGrateful,  you are a man after gods heart and i am proud that you are my president  blessedandgrateful awesomeness
104,"@user @user if I catch you making tea with water boiled up to 100 degrees, there will be dire consequences",0,20,19,4.35,106,0,0,1,8,3,tea dire,  if i catch you making tea with water boiled up to  degrees there will be dire consequences
105,@user Wise you mean? 😅,1,5,5,3.6,22,0,0,1,1,2,, wise you mean 😅
106,@user big revenge guy,0,4,4,4.5,21,0,0,1,0,1,big, big revenge guy
107,Remain attached to God during your happiness and during your sadness.,2,11,9,5.36,69,0,0,0,6,1,attached,remain attached to god during your happiness and during your sadness
108,"@user Jen, awful funny how the tide has turned on this show! I am elated and amused! Goes from love fest to oh we have collusion!",1,26,26,4.0,129,0,0,1,12,5,awful funny, jen awful funny how the tide has turned on this show i am elated and amused goes from love fest to oh we have collusion
109,Odd watching #Antifa extremists going full spectrum to become Fascists\n\n#Violence #Hate #angry #Clueless #YOUTH in mom's #basement come out,0,19,19,6.47,141,0,1,0,3,8,full angry,odd watching antifa extremists going full spectrum to become fascistsnnviolence hate angry clueless youth in moms basement come out
110,#Work not to,3,3,3,3.33,12,0,1,0,2,1,,work not to
111,@user @user I'm fuming that you're fuming 🙄 #fuming,0,9,7,4.78,51,0,1,1,3,5,🙄,  im fuming that youre fuming 🙄 fuming
112,@user @user @user I bet he needed to take an anime break and drink a Zima after all the furious typing.,0,21,19,3.95,103,0,0,1,9,4,anime furious,   i bet he needed to take an anime break and drink a zima after all the furious typing
113,@user Exhausting for us. Imagine being so tightly wrapped that you're writing these 'think pieces' at such a furious rate. #medicated,0,21,21,5.38,133,0,1,1,9,7,furious, exhausting for us imagine being so tightly wrapped that youre writing these think pieces at such a furious rate medicated
114,Haven't been on a holiday abroad in two years how depressing is that btw☹️,3,14,14,4.36,74,0,0,0,8,1,,havent been on a holiday abroad in two years how depressing is that btw☹️
115,sardonyx expresses herself through supporting the team with your incredible yo-yo skills and depression okay,3,15,15,6.27,108,0,0,0,6,1,incredible yo-yo,sardonyx expresses herself through supporting the team with your incredible yoyo skills and depression okay
116,@user OMG poor you! It happened to me last summer. I saw my under skin 😰,3,16,16,3.56,72,0,0,1,6,3,poor last, omg poor you it happened to me last summer i saw my under skin 😰
117,"The patients were increasingly protected during heart attacks, chains have encouraged smoke, anger and hundreds of new hospitals.",1,18,18,6.22,129,0,0,0,6,3,new,the patients were increasingly protected during heart attacks chains have encouraged smoke anger and hundreds of new hospitals
118,@user you look shook! #afraid #shook #impeach #youaregoingdown,0,8,8,6.88,62,0,1,1,1,6,shook afraid, you look shook afraid shook impeach youaregoingdown
119,Just added a copy of CANDIDE to my local Little Free Library &amp; a guy grabbed it literally 5 seconds later #optimism #BestOfAllPossibleWorlds,2,23,22,5.3,144,0,1,0,7,4,local,just added a copy of candide to my local little free library amp a guy grabbed it literally  seconds later optimism bestofallpossibleworlds
120,I feel so intimidated talking to chicken now that I know how pretty she is,1,15,14,4.0,74,0,0,0,8,0,intimidated pretty,i feel so intimidated talking to chicken now that i know how pretty she is
121,@user (c) grew with resentment for herself and the world around her.\n\nHer spine tingled as she heard the incessant clicking of a (c),0,23,21,4.87,134,0,0,1,10,6,her.\n\nHer incessant, c grew with resentment for herself and the world around hernnher spine tingled as she heard the incessant clicking of a c
122,@user are we in for Lemar even though wenger was very coy about him in his press conference,1,18,17,4.11,91,0,0,1,10,1,coy, are we in for lemar even though wenger was very coy about him in his press conference
123,"My mother-in-law, in a fit of #rage, referred to someone as a 'yo-yo'.\n#yoyo #motherinlaw #amirite #fitofrage",0,16,15,5.94,110,0,1,0,7,13,'yo-yo'.\n yoyo,my motherinlaw in a fit of rage referred to someone as a yoyonyoyo motherinlaw am i right fitofrage
124,"@user Maybe don't nom so many raging dicks, Donny!  Jeez, it's like teaching a baby to fly a jet!",0,19,18,4.11,97,0,0,1,7,7,many, maybe dont nom so many raging dicks donny  jeez its like teaching a baby to fly a jet
125,You know your (numerous)meds have kicked in when you find stupid things highly amusing #BPDproblems #KeepTalkingMH  #mentalhealth,1,17,17,6.59,129,0,1,0,6,5,numerous stupid,you know your numerousmeds have kicked in when you find stupid things highly amusing bpdproblems keeptalkingmh  mentalhealth
126,@user believe it! you can start your temper tantrum now/,0,10,10,4.7,56,0,0,1,3,3,, believe it you can start your temper tantrum now
127,@user Really?? Because music analyzes your screenshots with my microscope too??? I didn't think so #offended,0,16,16,5.81,108,0,1,1,7,8,, really because music analyzes your screenshots with my microscope too i didnt think so offended
128,#LT a mom let her kid pay for the bus. The kid dropped the coins. I'm boiling in rage. My face may be straight bu my eyes say IMGONNAKILLYA,0,29,27,3.83,139,0,1,0,11,5,straight,lt a mom let her kid pay for the bus the kid dropped the coins im boiling in rage my face may be straight bu my eyes say imgonnakillya
129,Don't grieve over things so badly..,3,6,6,5.0,35,0,0,0,3,3,,dont grieve over things so badly
130,"@user ballroom dancing class tomorrow, any advice for a first timer?",1,11,11,5.27,68,0,0,1,3,3,first, ballroom dancing class tomorrow any advice for a first timer
131,"you begin to irritate me, primitive",0,6,6,5.0,35,0,0,0,2,1,primitive,you begin to irritate me primitive
132,"@user It's been a little Twitter saga lately. The tea thing is horrific, plus they never have fresh milk to put in it.",0,23,23,4.17,118,0,0,1,9,5,little tea horrific fresh, its been a little twitter saga lately the tea thing is horrific plus they never have fresh milk to put in it
133,Just #snorted #laughing @user #outtakes @user @user #hilarious Best duo ever! @user,1,12,9,6.0,83,0,1,1,1,9,snorted user hilarious,just snorted laughing  outtakes   hilarious best duo ever 
134,They say ur a prdct of ur surroundings. A bit intimidated by the crazy amazing ppl I met @ @user @user @user @user,1,23,19,4.0,114,0,0,1,7,6,ur crazy amazing @,they say ur a prdct of ur surroundings a bit intimidated by the crazy amazing ppl i met     
135,Three more shifts then I start the next part of my tutorship in response #enjoyingthelastfewdays #excited #nervous #newchallanges,1,18,18,6.22,129,0,1,0,7,4,next excited nervous,three more shifts then i start the next part of my tutorship in response enjoyingthelastfewdays excited nervous newchallanges
136,This nightmare is nearly over gang gang gang,2,8,6,4.62,44,0,0,0,3,0,,this nightmare is nearly over gang gang gang
137,@user It's an evening for lying around doing feck all. Looks like an October evening down here #miserable,3,18,16,4.89,105,0,1,1,8,4,miserable, its an evening for lying around doing feck all looks like an october evening down here miserable
138,"@user Goddess, that poor girl 🙁",3,6,6,4.33,31,0,0,1,1,2,user poor, goddess that poor girl 🙁
139,i haven't had to speak maltese in over two years and now have relatives calling me about the trip and it's terrible 🙃,0,23,22,4.13,117,0,0,0,13,2,maltese terrible,i havent had to speak maltese in over two years and now have relatives calling me about the trip and its terrible 🙃
140,@user i know 😰,3,4,4,2.75,14,0,0,1,1,1,, i know 😰
141,"Cold sores are the worst. The second you smile or laugh, it's over. Blood everywhere",3,15,15,4.67,84,0,0,0,6,4,Cold second,cold sores are the worst the second you smile or laugh its over blood everywhere
142,@user Ganguly chose? It is Kohli's provocation which compelled Dada to pick that pretentious fuck.,0,15,15,5.6,98,0,0,1,5,4,pretentious, ganguly chose it is kohlis provocation which compelled dada to pick that pretentious fuck
143,@user @user She is Right shld burn them alive 😡 it's even more better if they burn you with ur brothers 😠,0,22,20,3.82,105,0,0,1,9,3,Right alive ur,  she is right shld burn them alive 😡 its even more better if they burn you with ur brothers 😠
144,#unforgiveness lives in the #dark,3,5,5,5.8,33,0,1,0,2,2,unforgiveness,unforgiveness lives in the dark
145,@user shocked as well. but bc I cheer for another club in the swiss league…,2,15,15,4.07,75,0,0,1,6,2,bc swiss, shocked as well but bc i cheer for another club in the swiss league…
146,@user They give awful service and you haven't got back to my complaint yet. Can you guess the airline? #dontflyBA #annoyed,0,21,20,4.86,122,0,1,1,9,6,awful dontflyBA, they give awful service and you havent got back to my complaint yet can you guess the airline dontflyba annoyed
147,@user So are you saying there's a good chance that two teams might *gasp* finish last? One in the East and one in the West? #offended,0,26,24,4.15,133,0,1,1,11,7,good last, so are you saying theres a good chance that two teams might gasp finish last one in the east and one in the west offended
